txn_dt,menu_article,units_moved,batch_yield,unit_cost_rm,markdown_rate,meteo,calendar_dow
2025-01-02,Chicken Focaccia,27,33,18.0,0,Sunny,Thursday
2025-01-03,Chicken Focaccia,33,40,18.0,0,Sunny,Friday
2025-01-04,Chicken Focaccia,39,43,18.0,0,Rainy,Saturday
2025-01-05,Chicken Focaccia,45,53,18.0,0,Sunny,Sunday
2025-01-09,Chicken Focaccia,28,33,18.0,0,Sunny,Thursday
2025-01-10,Chicken Focaccia,28,32,18.0,0,Rainy,Friday
2025-01-11,Chicken Focaccia,38,45,18.0,0,Sunny,Saturday
2025-01-12,Chicken Focaccia,39,43,18.0,20,Rainy,Sunday
2025-01-16,Chicken Focaccia,25,29,18.0,0,Cloudy,Thursday
2025-01-17,Chicken Focaccia,32,37,18.0,0,Cloudy,Friday
2025-01-18,Chicken Focaccia,56,67,18.0,25,Sunny,Saturday
2025-01-19,Chicken Focaccia,45,54,18.0,0,Sunny,Sunday
2025-01-23,Chicken Focaccia,31,37,18.0,0,Sunny,Thursday
2025-01-24,Chicken Focaccia,29,33,18.0,0,Rainy,Friday
2025-01-25,Chicken Focaccia,43,47,18.0,0,Sunny,Saturday
2025-01-26,Chicken Focaccia,39,46,18.0,0,Sunny,Sunday
2025-01-30,Chicken Focaccia,27,31,18.0,0,Cloudy,Thursday
2025-01-31,Chicken Focaccia,33,40,18.0,0,Sunny,Friday
2025-02-01,Chicken Focaccia,33,39,18.0,0,Cloudy,Saturday
2025-02-02,Chicken Focaccia,24,28,18.0,0,Rainy,Sunday
2025-02-06,Chicken Focaccia,27,30,18.0,0,Sunny,Thursday
2025-02-07,Chicken Focaccia,34,38,18.0,0,Sunny,Friday
2025-02-08,Chicken Focaccia,34,38,18.0,0,Sunny,Saturday
2025-02-09,Chicken Focaccia,30,34,18.0,0,Cloudy,Sunday
2025-02-13,Chicken Focaccia,35,39,18.0,0,Sunny,Thursday
2025-02-14,Chicken Focaccia,48,53,18.0,0,Rainy,Friday
2025-02-15,Chicken Focaccia,50,58,18.0,0,Sunny,Saturday
2025-02-16,Chicken Focaccia,41,47,18.0,0,Sunny,Sunday
2025-02-20,Chicken Focaccia,26,30,18.0,0,Sunny,Thursday
2025-02-21,Chicken Focaccia,33,38,18.0,0,Cloudy,Friday
2025-02-22,Chicken Focaccia,37,45,18.0,0,Rainy,Saturday
2025-02-23,Chicken Focaccia,39,44,18.0,0,Cloudy,Sunday
2025-02-27,Chicken Focaccia,22,26,18.0,0,Cloudy,Thursday
2025-02-28,Chicken Focaccia,33,40,18.0,0,Sunny,Friday
2025-03-01,Chicken Focaccia,46,55,18.0,0,Sunny,Saturday
2025-03-02,Chicken Focaccia,44,52,18.0,0,Sunny,Sunday
2025-03-06,Chicken Focaccia,29,32,18.0,15,Cloudy,Thursday
2025-03-07,Chicken Focaccia,37,44,18.0,0,Sunny,Friday
2025-03-08,Chicken Focaccia,49,57,18.0,0,Sunny,Saturday
2025-03-09,Chicken Focaccia,41,45,18.0,0,Sunny,Sunday
2025-03-13,Chicken Focaccia,18,21,18.0,0,Rainy,Thursday
2025-03-14,Chicken Focaccia,36,43,18.0,0,Sunny,Friday
2025-03-15,Chicken Focaccia,44,52,18.0,0,Sunny,Saturday
2025-03-16,Chicken Focaccia,40,48,18.0,0,Sunny,Sunday
2025-03-20,Chicken Focaccia,20,24,18.0,0,Sunny,Thursday
2025-03-21,Chicken Focaccia,33,40,18.0,0,Sunny,Friday
2025-03-22,Chicken Focaccia,43,48,18.0,0,Cloudy,Saturday
2025-03-23,Chicken Focaccia,44,49,18.0,0,Cloudy,Sunday
2025-03-27,Chicken Focaccia,35,42,18.0,20,Rainy,Thursday
2025-03-28,Chicken Focaccia,40,45,18.0,0,Sunny,Friday
2025-03-29,Chicken Focaccia,65,77,18.0,0,Sunny,Saturday
2025-03-30,Chicken Focaccia,37,45,18.0,0,Rainy,Sunday
2025-04-03,Chicken Focaccia,26,30,18.0,0,Sunny,Thursday
2025-04-04,Chicken Focaccia,38,45,18.0,20,Sunny,Friday
2025-04-05,Chicken Focaccia,48,56,18.0,0,Sunny,Saturday
2025-04-06,Chicken Focaccia,57,66,18.0,15,Cloudy,Sunday
2025-04-10,Chicken Focaccia,26,31,18.0,0,Rainy,Thursday
2025-04-11,Chicken Focaccia,41,49,18.0,20,Sunny,Friday
2025-04-12,Chicken Focaccia,38,46,18.0,0,Sunny,Saturday
2025-04-13,Chicken Focaccia,42,49,18.0,0,Cloudy,Sunday
2025-04-17,Chicken Focaccia,27,32,18.0,0,Cloudy,Thursday
2025-04-18,Chicken Focaccia,35,41,18.0,0,Cloudy,Friday
2025-04-19,Chicken Focaccia,50,58,18.0,0,Cloudy,Saturday
2025-04-20,Chicken Focaccia,44,51,18.0,0,Sunny,Sunday
2025-04-24,Chicken Focaccia,20,22,18.0,0,Rainy,Thursday
2025-04-25,Chicken Focaccia,32,38,18.0,0,Cloudy,Friday
2025-04-26,Chicken Focaccia,48,54,18.0,0,Sunny,Saturday
2025-04-27,Chicken Focaccia,40,45,18.0,20,Rainy,Sunday
2025-05-01,Chicken Focaccia,33,39,18.0,0,Sunny,Thursday
2025-05-02,Chicken Focaccia,38,43,18.0,0,Sunny,Friday
2025-05-03,Chicken Focaccia,46,56,18.0,20,Cloudy,Saturday
2025-05-04,Chicken Focaccia,36,44,18.0,0,Sunny,Sunday
2025-05-08,Chicken Focaccia,29,35,18.0,0,Sunny,Thursday
2025-05-09,Chicken Focaccia,34,41,18.0,0,Sunny,Friday
2025-05-10,Chicken Focaccia,48,58,18.0,0,Sunny,Saturday
2025-05-11,Chicken Focaccia,57,66,18.0,0,Cloudy,Sunday
2025-05-15,Chicken Focaccia,29,35,18.0,0,Sunny,Thursday
2025-05-16,Chicken Focaccia,35,42,18.0,0,Sunny,Friday
2025-05-17,Chicken Focaccia,43,48,18.0,0,Cloudy,Saturday
2025-05-18,Chicken Focaccia,44,53,18.0,0,Cloudy,Sunday
2025-05-22,Chicken Focaccia,32,37,18.0,0,Sunny,Thursday
2025-05-23,Chicken Focaccia,30,35,18.0,0,Rainy,Friday
2025-05-24,Chicken Focaccia,35,41,18.0,0,Cloudy,Saturday
2025-05-25,Chicken Focaccia,30,35,18.0,0,Rainy,Sunday
2025-05-29,Chicken Focaccia,29,32,18.0,0,Sunny,Thursday
2025-05-30,Chicken Focaccia,43,52,18.0,0,Sunny,Friday
2025-05-31,Chicken Focaccia,51,57,18.0,0,Sunny,Saturday
2025-06-01,Chicken Focaccia,36,40,18.0,0,Cloudy,Sunday
2025-06-05,Chicken Focaccia,22,26,18.0,0,Rainy,Thursday
2025-06-06,Chicken Focaccia,37,44,18.0,0,Sunny,Friday
2025-06-07,Chicken Focaccia,46,55,18.0,0,Cloudy,Saturday
2025-06-08,Chicken Focaccia,41,45,18.0,0,Rainy,Sunday
2025-06-12,Chicken Focaccia,25,29,18.0,0,Cloudy,Thursday
2025-06-13,Chicken Focaccia,51,58,18.0,25,Sunny,Friday
2025-06-14,Chicken Focaccia,54,60,18.0,0,Cloudy,Saturday
2025-06-15,Chicken Focaccia,42,47,18.0,0,Rainy,Sunday
2025-06-19,Chicken Focaccia,34,38,18.0,20,Rainy,Thursday
2025-06-20,Chicken Focaccia,36,44,18.0,0,Cloudy,Friday
2025-06-21,Chicken Focaccia,47,56,18.0,15,Rainy,Saturday
2025-06-22,Chicken Focaccia,49,58,18.0,0,Sunny,Sunday
2025-06-26,Chicken Focaccia,30,35,18.0,0,Rainy,Thursday
2025-06-27,Chicken Focaccia,37,44,18.0,0,Sunny,Friday
2025-06-28,Chicken Focaccia,39,44,18.0,0,Rainy,Saturday
2025-06-29,Chicken Focaccia,62,74,18.0,20,Sunny,Sunday
2025-07-03,Chicken Focaccia,28,32,18.0,0,Sunny,Thursday
2025-07-04,Chicken Focaccia,46,53,18.0,10,Cloudy,Friday
2025-07-05,Chicken Focaccia,51,60,18.0,0,Cloudy,Saturday
2025-07-06,Chicken Focaccia,50,60,18.0,0,Cloudy,Sunday
2025-07-10,Chicken Focaccia,31,35,18.0,0,Cloudy,Thursday
2025-07-11,Chicken Focaccia,48,58,18.0,0,Sunny,Friday
2025-07-12,Chicken Focaccia,56,64,18.0,0,Rainy,Saturday
2025-07-13,Chicken Focaccia,50,58,18.0,0,Cloudy,Sunday
2025-07-17,Chicken Focaccia,35,42,18.0,0,Sunny,Thursday
2025-07-18,Chicken Focaccia,39,47,18.0,0,Cloudy,Friday
2025-07-19,Chicken Focaccia,40,48,18.0,0,Rainy,Saturday
2025-07-20,Chicken Focaccia,49,56,18.0,0,Sunny,Sunday
2025-07-24,Chicken Focaccia,37,43,18.0,0,Sunny,Thursday
2025-07-25,Chicken Focaccia,48,55,18.0,0,Sunny,Friday
2025-07-26,Chicken Focaccia,43,49,18.0,0,Rainy,Saturday
2025-07-27,Chicken Focaccia,42,48,18.0,0,Cloudy,Sunday
2025-07-31,Chicken Focaccia,28,31,18.0,0,Cloudy,Thursday
2025-08-01,Chicken Focaccia,31,36,18.0,0,Cloudy,Friday
2025-08-02,Chicken Focaccia,76,85,18.0,25,Sunny,Saturday
2025-08-03,Chicken Focaccia,48,58,18.0,0,Rainy,Sunday
2025-08-07,Chicken Focaccia,32,37,18.0,0,Rainy,Thursday
2025-08-08,Chicken Focaccia,33,39,18.0,0,Rainy,Friday
2025-08-09,Chicken Focaccia,46,54,18.0,0,Sunny,Saturday
2025-08-10,Chicken Focaccia,47,55,18.0,0,Sunny,Sunday
2025-08-14,Chicken Focaccia,41,49,18.0,15,Sunny,Thursday
2025-08-15,Chicken Focaccia,39,45,18.0,0,Rainy,Friday
2025-08-16,Chicken Focaccia,51,58,18.0,0,Sunny,Saturday
2025-08-17,Chicken Focaccia,51,61,18.0,0,Sunny,Sunday
2025-08-21,Chicken Focaccia,32,38,18.0,0,Cloudy,Thursday
2025-08-22,Chicken Focaccia,47,53,18.0,0,Cloudy,Friday
2025-08-23,Chicken Focaccia,57,69,18.0,0,Cloudy,Saturday
2025-08-24,Chicken Focaccia,53,61,18.0,0,Sunny,Sunday
2025-08-28,Chicken Focaccia,31,35,18.0,20,Cloudy,Thursday
2025-08-29,Chicken Focaccia,37,44,18.0,0,Sunny,Friday
2025-08-30,Chicken Focaccia,51,59,18.0,0,Sunny,Saturday
2025-08-31,Chicken Focaccia,54,60,18.0,0,Sunny,Sunday
2025-09-04,Chicken Focaccia,30,34,18.0,0,Cloudy,Thursday
